ASTBERT-cb-25k-methods
0.6706	0.9211	0
0.3946	0.9394	1
0.3184	0.9457	2
0.2629	0.9513	3
0.2173	0.9566	4
0.1694	0.9633	5
0.1439	0.9673	6
0.1158	0.9726	7
0.0928	0.9774	8
0.0771	0.9810	9
ASTBERT-cb-5k-methods
1.2016	0.8863	0
0.5520	0.9294	1
0.4975	0.9315	2
0.4456	0.9353	3
0.3840	0.9391	4
0.3186	0.9443	5
0.2513	0.9517	6
0.1874	0.9614	7
0.1312	0.9718	8
0.0903	0.9806	9
ASTBERT-cb-5k-methods-multipath
1.0543	0.8955	0
0.5551	0.9292	1
0.5051	0.9299	2
0.4762	0.9317	3
0.4408	0.9340	4
0.3965	0.9372	5
0.3451	0.9416	6
0.2883	0.9473	7
0.2303	0.9548	8
0.1751	0.9639	9
ASTBERT-gb-25k-methods
0.3447	0.9442	0
0.2808	0.9495	1
0.2292	0.9551	2
0.1844	0.9609	3
0.1434	0.9676	4
0.1121	0.9735	5
0.0891	0.9784	6
0.0741	0.9819	7
0.0625	0.9845	8
0.0535	0.9866	9
ASTBERT-gb-5k-methods
1.1843	0.8888	0
0.5507	0.9295	1
0.4962	0.9317	2
0.4450	0.9353	3
0.3849	0.9391	4
0.3208	0.9441	5
0.2545	0.9514	6
0.1904	0.9610	7
0.1351	0.9712	8
0.0907	0.9805	9
ASTBERT-gb-5k-methods-multipath
1.0763	0.8934	0
0.5565	0.9292	1
0.5056	0.9298	2
0.4761	0.9317	3
0.4387	0.9346	4
0.3948	0.9375	5
0.3434	0.9418	6
0.2872	0.9474	7
0.2297	0.9550	8
0.1757	0.9637	9
